Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
4;1000564;Поступление зарплаты на счет;Ремонт;1;0.59;мужской;0;0;2;рабочий;>250;0;11;49;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000584;Поступление зарплаты на счет;Ремонт;0;0.48;женский;0;0;4;специалист;>250;0;32;26;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000604;Форма банка (без печати работодателя);Ремонт;1;0.48;женский;0;0;4;специалист;>250;0;50;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000624;2НДФЛ;Ремонт;1;0.59;мужской;2;0;5;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000644;2НДФЛ;Покупка автомобиля;0;;мужской;0;0;4;другое;;1;44;26;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000664;Поступление зарплаты на счет;Ремонт;1;0.49;женский;1;0;2;специалист;>250;0;52;38;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0256410256;0;1;0;0;0.75;3;1;38;4;2;0;3;34;1;0;0;0;0;0;0
4;1000684;Поступление зарплаты на счет;Ремонт;0;0.5;женский;0;0;4;специалист;>250;0;61;32;Другое;ООО;холост / не замужем;6;6;0;0;0;0.0107526882;1;1;1;1;0.375;3;5;92;8;2;2;1;80;1;0;0;0;0;0;0
4;1000704;Поступление зарплаты на счет;Ремонт;1;0.34;женский;4;0;1;рабочий;>250;0;17;36;Торговля;ООО;гражданский брак;0;0;0;0;0;0.375;0;0;0;0;1;2;0;20;2;0;0;11;28;1;1;1;1;0;0;0
4;1000724;Поступление зарплаты на счет;Ремонт;1;0.57;женский;1;0;4;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000744;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.49;женский;2;0;4;рабочий;>250;0;34;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000764;2НДФЛ;Ремонт;1;0.25;женский;3;0;3;вспомогательный персонал;>250;1;25;44;Другое;ООО;гражданский брак;2;2;0;0;0;0.1;0;0;0;0;0;0;7;99;7;0;2;71;91;1;1;0;0;0;0;0
4;1000784;Поступление зарплаты на счет;Ремонт;0;0.56;женский;0;0;2;специалист;>250;0;21;24;Другое;ОАО;женат / замужем;3;2;2;2;2;0.0058139535;0;0;0;0;0.3846153846;5;8;171;13;2;1;9;47;1;0;0;0;0;0;0
4;1000804;Форма банка (без печати работодателя);Ремонт;1;0.59;женский;1;0;2;специалист;>250;0;78;33;Другое;ООО;холост / не замужем;2;0;0;0;0;0.032967033;0;0;0;0;0.5;7;7;352;14;3;2;14;105;1;0;0;0;0;0;0
4;1000824;2НДФЛ;Ремонт;1;0.41;женский;2;0;4;специалист;>250;0;52;45;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000844;2НДФЛ;Покупка земли;0;0.33;женский;1;0;2;вспомогательный персонал;>250;0;133;34;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000864;2НДФЛ;Обучение;1;0.18;женский;3;0;2;вспомогательный персонал;>250;3;76;33;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000884;Форма банка (без печати работодателя);Другое;1;0.34;женский;1;0;2;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000904;Поступление зарплаты на счет;Покупка автомобиля;0;0.51;женский;0;0;2;вспомогательный персонал;>250;1;92;47;Другое;ООО;женат / замужем;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000924;Поступление зарплаты на счет;Ремонт;1;0.13;мужской;0;0;1;вспомогательный персонал;< 50;0;42;45;Другое;ООО;женат / замужем;0;0;0;0;0;0.1282051282;0;0;0;0;0.1666666667;1;5;68;6;1;0;5;95;1;1;1;1;1;0;1
4;1000944;Форма банка (без печати работодателя);Ремонт;1;0.59;мужской;0;0;2;специалист;>250;0;50;27;Другое;ООО;холост / не замужем;1;1;0;0;0;0.0182926829;0;1;0;0;0.3571428571;5;9;161;14;1;0;4;68;1;0;0;0;0;0;0
4;1000964;2НДФЛ;Ремонт;0;0.12;женский;0;0;4;менеджер высшего звена;>250;0;9;40;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1000984;Поступление зарплаты на счет;Ремонт;1;0.37;женский;0;0;2;вспомогательный персонал;>250;0;20;51;Торговля;ООО;женат / замужем;1;0;0;0;0;0.6125;0;0;0;0;0.6666666667;2;1;31;3;2;0;10;45;1;1;0;0;0;0;0
4;1001004;2НДФЛ;Покупка недвижимости/ строительство;0;0.45;женский;1;0;4;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001024;2НДФЛ;Ремонт;1;0.49;женский;0;0;2;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001044;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.22;мужской;5;0;4;менеджер высшего звена;< 50;0;77;46;Другое;ООО;женат / замужем;0;0;0;0;0;0.1283783784;1;0;0;0;0.6;3;2;129;5;2;1;9;76;1;0;0;0;0;0;0
